#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: rcp45
#Model: IPSL-IPSL-CM5A-LR_r1i1p1_IITM-RegCM4-4_v5
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",0.424,2.872,1.18,0.614,2.521,0.237,4.67,1.451,3.16,7.479,1.922
"2006-02",0.241,3.16,0.477,0.404,2.68,0.191,4.13,0.76,2.473,3.809,1.699
"2006-03",0.71,3.396,0.56,0.717,1.1,0.184,2.72,0.385,2.182,3.102,1.885
"2006-04",1.694,4.096,0.938,1.417,4.279,0.18,3.425,1.681,7.155,9.658,2.297
"2006-05",2.249,2.485,0.601,0.896,2.856,0.366,4.512,2.098,12.038,8.596,2.307
"2006-06",1.563,0.413,0.872,1.188,2.091,0.646,6.387,4.627,13.932,5.495,2.622
"2006-07",1.228,0.324,0.827,1.264,2.801,2.28,8.637,3.725,15.56,5.871,3.35
"2006-08",1.68,0.348,1.118,1.32,3.282,2.502,8.159,2.956,12.029,7.888,3.31
"2006-09",2.039,0.969,1.735,1.657,3.404,0.714,4.654,1.844,10.984,5.702,2.651
"2006-10",2.461,2.005,1.304,0.942,2.441,0.567,1.924,1.063,7.427,3.908,1.931
"2006-11",0.736,1.903,1.853,0.624,5.409,0.243,1.286,0.776,4.121,2.257,1.812
"2006-12",0.3,2.4,2.118,1.063,1.587,0.244,1.308,1.81,4.153,3.631,1.477
"2007-01",0.265,2.385,1.248,1.102,2.324,0.224,2.909,0.98,7.386,7.474,1.648
"2007-02",0.419,1.848,1.09,0.708,1.842,0.284,2.72,0.475,1.994,3.085,1.705
"2007-03",0.516,3.284,0.571,1.156,3.309,0.168,3.097,0.76,5.186,5.343,1.837
"2007-04",1.851,3.209,0.852,1.132,4.011,0.2,2.714,1.272,5.085,3.343,1.888
"2007-05",1.952,1.277,0.983,1.527,3.305,0.504,4.089,3.793,7.938,6.99,2.089
"2007-06",1.543,0.436,0.735,1.151,3.332,0.588,5.514,5.409,12.837,6.754,2.473
"2007-07",0.924,0.278,1.312,1.623,2.036,2.681,8.977,4.225,9.756,4.419,3.54
"2007-08",1.345,0.322,1.175,1.14,2.199,4.787,8.709,4.307,10.296,5.467,3.517
"2007-09",1.963,0.598,2.159,1.43,2.425,2.251,6.619,2.536,10.658,6.581,2.904
"2007-10",1.578,1.636,1.308,0.687,4.413,0.193,3.673,2.265,10.623,7.844,1.948
"2007-11",0.992,2.657,0.844,0.695,3.246,0.237,1.116,1.17,5.409,2.909,1.289
"2007-12",0.625,3.8,0.964,0.904,3.271,0.205,1.851,1.186,3.563,3.356,1.588
"2008-01",0.337,2.383,1.29,0.534,3.838,0.197,4.954,1.354,2.109,3.676,2.248
"2008-02",0.204,2.137,0.717,0.631,3.269,0.176,3.437,0.825,3.07,4.295,1.569
"2008-03",0.555,3.085,0.996,0.556,3.741,0.194,4.283,0.399,2.27,3.638,1.964
"2008-04",2.224,4.336,0.508,1.319,2.683,0.29,2.674,0.935,5.672,5.601,1.945
"2008-05",2.417,1.727,0.716,1.181,1.64,0.678,3.058,5.359,12.179,8.587,1.985
"2008-06",1.599,0.544,0.677,1.468,2.742,1.109,7.163,7.255,10.957,7.246,2.663
"2008-07",1.158,0.413,1.625,1.616,2.465,1.903,8.367,5.159,14.484,7.78,3.806
"2008-08",1.715,0.357,1.535,1.927,2.865,1.844,7.959,3.675,10.57,7.234,3.417
"2008-09",1.491,0.392,1.118,1.416,2.882,1.59,4.78,4.652,11.688,9.755,2.834
"2008-10",2.645,1.999,1.228,1.503,3.77,0.881,3.537,2.178,7.376,4.255,2.238
"2008-11",0.342,1.545,0.446,0.923,7.171,0.137,1.892,1.154,8.014,3.17,1.605
"2008-12",0.262,2.204,0.69,0.28,3.574,0.197,3.635,0.813,2.92,2.628,1.798
"2009-01",0.234,1.653,0.866,0.459,2.044,0.202,3.076,0.969,1.287,3.784,1.837
"2009-02",0.228,2.115,0.883,0.632,2.94,0.208,3.768,0.661,1.421,3.225,1.973
