#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: historical
#Model: MPI-M-MPI-ESM-MR_r1i1p1_IITM-RegCM4-4_v5
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"1970-01",0.378,2.18,1.474,0.568,2.913,0.294,1.655,1.81,2.341,3.498,1.382
"1970-02",0.287,2.899,1.344,0.594,2.223,0.232,0.829,1.11,1.616,4.611,1.137
"1970-03",0.71,3.345,1.096,0.763,4.748,0.191,3.283,0.775,4.4,6.19,1.876
"1970-04",1.887,3.214,1.31,1.122,2.654,0.212,2.707,7.556,12.032,12.925,2.084
"1970-05",1.538,1.424,0.96,1.62,3.602,0.245,3.213,1.418,6.026,7.94,2.105
"1970-06",1.755,0.557,1.205,1.181,3.169,0.819,6.331,4.982,7.455,10.105,2.469
"1970-07",1.199,0.374,2.304,1.257,1.936,3.184,7.01,4.185,12.455,12.861,3.132
"1970-08",2.285,0.585,2.384,1.557,3.143,2.916,5.682,2.286,8.943,10.112,3.116
"1970-09",2.158,1.026,1.52,1.272,3.707,1.261,3.96,5.622,10.534,10.748,2.275
"1970-10",2.845,3.365,2.244,1.327,3.711,1.493,2.363,3.743,7.689,12.144,2.266
"1970-11",1.061,5.188,1.207,1.056,2.004,0.261,0.827,3.034,5.044,7.926,1.641
"1970-12",0.541,3.426,1.639,0.783,2.272,0.294,1.094,2.947,3.009,6.183,1.482
"1971-01",0.227,2.439,0.838,0.756,0.866,0.228,1.689,1.156,1.972,4.728,1.145
"1971-02",0.319,2.51,1.417,0.966,1.864,0.216,1.263,0.909,1.999,3.793,1.346
"1971-03",1.033,3.478,0.727,1.38,2.634,0.214,2.562,0.985,8.057,8.058,1.731
"1971-04",1.147,4.572,1.168,1.563,4.087,0.181,2.698,3.642,5.439,9.028,2.112
"1971-05",2.3,1.907,1.241,1.155,2.745,0.296,2.618,1.066,6.958,10.772,2.032
"1971-06",1.245,0.661,1.147,1.598,3.909,0.556,7.525,4.095,8.059,8.61,2.905
"1971-07",1.715,0.427,1.277,1.809,3.144,0.961,5.161,3.385,6.905,5.817,2.632
"1971-08",2.621,1.015,1.347,1.297,2.589,2.798,5.062,5.966,12.559,15.145,2.934
"1971-09",3.537,2.385,1.477,1.482,4.769,1.871,4.655,3.722,8.468,7.306,2.897
"1971-10",3.109,2.574,1.637,0.713,1.658,0.669,2.402,2.513,6.997,7.149,1.828
"1971-11",1.267,4.513,1.021,0.347,3.371,0.4,2.629,1.145,4.916,6.03,1.91
"1971-12",0.245,2.745,0.582,0.386,3.383,0.259,3.38,4.59,2.012,5.839,1.653
"1972-01",0.187,1.808,1.319,0.42,3.871,0.222,2.909,0.977,1.12,5.063,1.516
"1972-02",0.616,3.224,2.196,0.624,3.25,0.311,1.637,0.712,1.059,2.644,1.639
"1972-03",0.719,4.189,1.046,1.115,1.791,0.288,1.892,1.67,7.552,7.684,1.538
"1972-04",0.651,2.384,1.202,0.902,4.092,0.201,4.057,3.574,10.418,8.682,2.214
"1972-05",2.89,3.76,1.484,0.987,3.43,0.305,2.356,6.178,4.657,7.819,2.314
"1972-06",1.858,0.954,0.666,1.509,4.897,0.292,4.374,4.58,8.879,10.007,2.294
"1972-07",1.94,0.511,0.643,0.959,2.818,2.111,5.836,3.344,11.695,11.079,2.862
"1972-08",3.048,0.949,1.719,1.248,1.982,3.741,5.274,3.021,8.741,6.564,2.925
"1972-09",2.685,1.137,1.516,1.508,3.746,1.878,3.631,4.503,6.084,9.807,2.321
"1972-10",2.986,3.509,0.769,1.245,5.143,1.412,1.874,2.108,5.127,3.378,2.239
"1972-11",1.166,5.651,0.842,0.653,1.959,0.346,1.079,3.543,4.006,4.501,1.566
"1972-12",0.261,2.586,1.099,0.702,3.338,0.29,1.81,1.686,4.177,6.603,1.416
"1973-01",0.25,1.766,1.202,0.583,1.834,0.251,2.125,1.226,2.03,5.713,1.345
"1973-02",0.209,1.117,1.345,0.622,2.604,0.198,1.688,1.711,3.814,7.141,1.27
"1973-03",0.603,2.724,0.72,0.96,2.789,0.192,1.464,2.532,7.061,8.298,1.47
"1973-04",2.216,3.242,0.95,1.242,5.123,0.217,2.128,0.969,6.685,8.513,2.002
"1973-05",1.472,1.85,0.921,1.01,2.679,0.26,2.265,1.739,3.354,10.493,1.753
"1973-06",1.591,0.708,1.095,1.403,3.537,0.465,5.593,4.741,7.558,9.566,2.396
"1973-07",2.002,0.381,0.962,1.336,3.852,1.636,5.904,5.707,12.367,13.386,2.658
