#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: rcp45
#Model: IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v2
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",23.66,23.167,-0.994,-10.822,-17.764,13.263,15.48,24.8,23.429,25.655,8.614
"2006-02",25.497,24.196,2.591,-6.048,-13.784,17.188,19.923,25.157,24.223,26.526,11.834
"2006-03",26.757,24.487,5.076,-2.975,-7.426,19.767,23.562,25.797,26.803,27.569,14.58
"2006-04",27.443,23.634,14.879,2.897,-7.111,25.376,27.333,26.25,28.178,27.928,18.561
"2006-05",26.59,22.643,19.54,10.041,-1.387,29.003,29.607,27.44,27.913,27.16,21.529
"2006-06",26.358,21.775,23.788,17.352,2.173,31.853,30.898,28.488,27.459,26.551,23.895
"2006-07",25.655,21.269,26.909,19.19,6.645,32.778,30.387,27.422,26.808,25.648,25.139
"2006-08",25.548,22.59,25.673,18.442,7.251,32.539,29.76,26.692,26.307,25.176,24.807
"2006-09",25.901,23.167,20.631,12.499,2.677,29.008,27.579,27.458,26.894,25.634,22.044
"2006-10",24.741,23.591,13.114,2.865,-2.984,23.397,24.144,27.619,26.131,25.792,17.494
"2006-11",23.645,22.847,6.552,-2.105,-8.502,19.608,19.992,26.64,25.139,25.853,13.656
"2006-12",23.364,22.334,0.295,-9.262,-14.969,15.378,17.024,25.645,24.213,25.579,9.697
"2007-01",22.872,22.705,-0.973,-12.521,-15.4,13.652,16.081,24.89,23.471,25.496,8.727
"2007-02",24.887,23.699,4.463,-4.896,-10.581,15.135,20.29,24.838,25.241,26.677,12.55
"2007-03",26.41,23.814,5.8,-1.237,-6.451,19.363,24.455,25.902,27.443,27.71,14.941
"2007-04",26.907,23.217,12.956,3.183,-4.781,24.038,27.127,26.064,28.891,28.003,18.367
"2007-05",25.897,22.339,19.034,9.621,-1.439,28.393,30.072,27.93,29.392,28.082,21.516
"2007-06",26.062,21.425,23.687,16.375,3.054,31.563,32.101,28.08,28.534,26.576,24.148
"2007-07",25.434,21.219,25.681,20.448,8.32,32.655,30.64,26.719,26.81,25.36,25.191
"2007-08",25.234,21.689,27.144,19.395,7.789,32.551,29.082,26.004,26.541,25.312,24.828
"2007-09",25.41,22.934,19.84,11.665,3.837,29.091,26.338,26.213,26.849,25.941,21.662
"2007-10",24.851,23.24,10.509,2.491,-3.409,22.859,23.513,26.966,26.28,25.836,17.038
"2007-11",24.32,22.713,6.207,-3.76,-10.868,18.975,18.914,26.498,25.303,25.926,13.243
"2007-12",23.275,22.112,-0.108,-12.156,-17.31,14.603,15.565,25.227,24.135,25.206,9.078
"2008-01",23.329,22.848,-0.751,-10.334,-14.046,13.426,16.626,24.301,23.682,25.259,9.299
"2008-02",25,23.979,1.614,-10.766,-13.377,16.006,18.753,24.421,24.982,26.371,11.336
"2008-03",26.917,24.118,6.111,-3.345,-11.064,21.155,22.817,25.566,26.707,27.689,14.772
"2008-04",27.033,23.33,12.897,1.505,-7.585,24.352,26.329,26.849,27.905,28.135,17.913
