#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: historical
#Model: NCC-NorESM1-M_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"1970-01",20.841,22.33,2.097,-11.875,-18.097,11.808,14.976,21.683,21.322,23.271,9.399
"1970-02",23.295,22.808,3.713,-8.72,-15.697,15.617,17.009,22.248,22.733,24.163,11.641
"1970-03",24.693,22.873,7.952,-2.544,-10.88,19.528,21.086,23.338,24.671,25.243,14.762
"1970-04",26.46,23.078,12.806,5.035,-5.49,24.373,25.782,24.627,26.503,25.945,18.791
"1970-05",25.725,21.846,20.437,12.217,0.132,29.398,27.328,26.583,26.743,25.887,21.858
"1970-06",24.814,20.46,26.569,15.77,4.765,33.974,27.632,27.37,26.278,25.379,23.912
"1970-07",24.064,20.26,26.745,18.144,7.881,32.979,26.982,26.322,26.192,25.045,24.355
"1970-08",24.016,20.319,24.981,17.091,8.198,32.325,26.32,25.715,25.966,24.951,23.81
"1970-09",24.757,21.411,20.009,10.727,3.839,29.273,26.848,25.573,25.929,24.881,21.791
"1970-10",24.502,21.811,12.982,2.042,-4.404,23.556,24.768,25.744,25.095,24.855,17.821
"1970-11",22.79,21.896,7.888,-4.625,-10.369,17.431,21.029,24.42,24.528,24.917,14.067
"1970-12",21.545,22.416,-0.429,-12.31,-14.362,11.168,16.363,22.944,23.83,24.579,9.71
"1971-01",22.379,23.041,2.768,-13.182,-16.079,12.197,16.661,22.173,22.398,24.055,10.35
"1971-02",25.108,23.338,5.865,-6.307,-13.064,17.322,18.735,23.685,23.691,24.923,13.439
"1971-03",25.888,23.382,11.277,-1.939,-9.476,22.371,22.065,24.209,24.886,25.433,16.559
"1971-04",26.685,23.323,12.433,6.021,-4.13,24.877,25.831,25.973,26.761,26.388,19.166
"1971-05",25.987,21.774,20.401,10.936,-0.044,30.167,29.001,27.227,27.266,26.464,22.324
"1971-06",24.815,20.418,24.625,14.193,5.283,33.026,28.685,27.848,26.577,26.089,23.944
"1971-07",23.337,20.359,26.652,17.515,8.644,32.264,26.835,26.491,25.815,25.298,24.123
"1971-08",22.729,20.252,25.476,17.782,7.999,30.313,25.905,25.696,25.92,25.252,23.336
"1971-09",23.335,20.98,19.127,10.34,5.432,27.373,25.225,25.557,25.823,25.091,21.097
"1971-10",23.517,21.711,12.195,1.826,-1.853,22.726,22.955,24.458,25.175,24.983,17.511
"1971-11",22.625,21.871,6.18,-5.867,-9.051,15.614,19.092,23.994,24.208,24.649,13.441
"1971-12",20.994,21.47,2.902,-10.995,-13.044,12.105,16.512,22.832,23.223,24.244,10.556
"1972-01",21.648,21.79,0.67,-13.425,-15.023,11.896,15.195,21.821,21.976,23.565,9.744
"1972-02",22.645,22.119,3.739,-10.268,-14.732,14.533,17.635,21.359,23.203,24.587,11.515
"1972-03",24.636,22.536,6.928,-3.327,-9.743,18.573,22.105,22.683,24.562,25.307,14.726
"1972-04",26.243,22.755,14.237,3.493,-5.435,25.01,26.172,24.543,25.887,25.632,18.949
"1972-05",25.481,21.399,20.189,11.438,0.425,29.706,28.686,26.57,26.769,25.748,22.12
"1972-06",24.065,20.047,25.048,16.698,5.47,31.447,27.359,26.647,25.823,24.942,23.246
"1972-07",22.842,19.742,27.936,20.967,8.321,31.609,25.881,25.668,25.808,24.998,23.983
"1972-08",22.859,20.412,25.629,17.976,7.843,31.393,25.493,25.093,25.333,24.545,23.473
"1972-09",23.562,21.056,20.255,11.64,5.386,28.942,25.888,25.62,25.661,24.891,21.657
"1972-10",23.452,21.54,13.129,1.792,-2.47,23.568,24.513,25.635,24.956,24.702,17.665
"1972-11",22.3,21.546,4.663,-8.957,-10.819,16.619,19.221,24.163,23.651,24.472,12.695
"1972-12",20.305,21.54,0.61,-15.663,-18.335,11.109,14.81,21.882,22.516,23.889,8.718
"1973-01",21.022,22.472,1.499,-12.887,-16.742,11.357,15.457,21.198,22.03,23.714,9.644
"1973-02",23.735,22.554,2.981,-9.137,-14.569,15.747,17.992,22.657,22.832,24.436,11.927
"1973-03",25.128,22.716,9.292,-1.39,-9.468,19.449,22.258,23.811,23.438,24.373,15.396
"1973-04",25.674,22.449,13.042,5.622,-5.144,24.434,24.334,25.428,25.524,25.621,18.493
"1973-05",25.392,21.825,20.652,11.906,-0.469,29.601,27.485,26.463,26.628,25.97,22.139
"1973-06",23.577,20.402,26.323,16.114,4.442,31.994,26.652,26.753,25.84,25.069,23.339
"1973-07",22.968,19.728,26.65,20.961,9.568,30.829,25.36,25.824,25.527,24.448,23.893
"1973-08",23.5,20.708,24.717,17.155,8.274,32.092,26.019,25.565,25.893,24.793,23.656
"1973-09",23.914,21.272,20.575,11.505,4.534,30.32,25.548,25.876,25.657,24.763,21.931
"1973-10",23.657,21.549,13.8,1.727,-3.758,24.542,23.787,25.673,25.141,24.904,17.837
"1973-11",22.72,22.005,5.919,-6.715,-10.178,18.248,21.028,24.994,24.115,24.624,13.6
"1973-12",21.052,21.904,0.707,-13.447,-15.575,11.353,15.794,22.742,22.912,23.887,9.581
"1974-01",20.794,21.749,0.409,-14.133,-16.764,11.877,15.43,21.274,22.249,23.618,9.423
"1974-02",22.571,22.646,3.992,-8.774,-15.442,14.773,18.069,22.34,23.305,24.655,11.578
"1974-03",25.219,22.884,10.793,-1.856,-9.808,21.602,23.006,23.463,25.157,25.847,16.479
"1974-04",25.204,21.893,13.978,5.132,-4.645,25.087,26.248,25.678,26.687,26.449,19.069
"1974-05",25.751,21.637,22.324,11.646,1.405,29.889,28.398,27.355,26.729,26.023,22.638
"1974-06",24.164,20.281,25.04,15.4,6.186,31.941,27.657,27.244,26.294,25.5,23.599
"1974-07",23.154,19.924,27.041,18.599,8.239,32.644,26.166,25.764,26.043,25.197,24.045
"1974-08",22.892,20.51,24.165,18.168,8.556,30.798,25.68,25.432,25.79,24.966,23.421
"1974-09",23.914,21.538,20.424,12.615,5.985,30.133,25.237,25.695,25.491,24.742,22.135
"1974-10",23.311,21.553,14.028,3.121,-1.236,23.567,24.871,25.53,24.907,24.715,18.158
"1974-11",22.16,21.673,5.899,-5.753,-9.396,17.199,20.356,23.886,24.061,24.589,13.515
"1974-12",20.866,21.651,0.099,-12.717,-14.356,12.053,15.232,21.872,22.472,23.705,9.679
"1975-01",20.703,21.788,1.006,-11.443,-14.416,11.291,16.068,20.898,22.151,23.59,9.941
"1975-02",22.317,22.603,3.434,-9.002,-13.34,13.905,18.554,21.233,22.743,24.249,11.725
"1975-03",24.588,22.688,8.34,-2.145,-10.32,19.273,21.288,22.818,24.788,25.458,14.81
"1975-04",25.732,22.118,15.458,5.012,-5.476,24.851,24.501,24.948,26.108,25.866,18.839
"1975-05",25.256,21.399,19.814,11.031,0.032,29.243,27.679,26.681,26.052,25.72,21.669
"1975-06",24.022,19.945,25.736,14.832,4.536,32.969,28.313,27.149,25.81,25.142,23.746
"1975-07",22.865,19.894,26.738,17.987,7.691,32.496,26.748,25.792,25.406,24.572,23.891
"1975-08",22.753,20.505,25.3,17.796,7.59,31.664,25.272,25.048,25.323,24.465,23.424
"1975-09",24.004,21.596,19.837,10.316,4.489,29.403,25.432,25.378,25.361,24.669,21.686
"1975-10",23.771,21.945,12.564,1.194,-4.374,23.241,23.365,24.689,25.004,24.705,17.747
"1975-11",22.041,21.629,7.391,-6.391,-11.423,17.267,19.778,23.843,23.799,24.366,13.284
"1975-12",20.349,21.578,0.737,-12.041,-15.248,10.102,15.632,22.281,22.49,23.638,9.393
"1976-01",20.73,22.087,1.619,-12.914,-18.051,11.521,14.811,21.337,22.7,24.196,9.233
"1976-02",23.606,22.319,3.933,-6.918,-12.458,15.638,18.437,21.848,23.422,24.721,12.737
"1976-03",24.977,22.575,8.912,-3.137,-11.102,20.666,21.511,23.436,24.761,25.226,15.237
