#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: historical
#Model: CNRM-CERFACS-CNRM-CM5_r1i1p1_SMHI-RCA4_v2
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"1970-01",22.793,25.343,8.65,NA,NA,20.467,23.373,23.822,24.597,25.591,24.466
"1970-02",23.198,26.026,7.867,NA,NA,20.269,24.119,24.174,25.183,26.423,25.181
"1970-03",24.403,26.4,11.918,NA,NA,21.734,25.216,24.775,26.368,26.758,25.726
"1970-04",25.713,27.191,17.814,NA,NA,23.62,26.38,25.759,27.31,27.164,26.384
"1970-05",26.962,26.128,21.953,NA,NA,25.045,27.344,26.666,28.06,27.198,26.694
"1970-06",27.051,24.793,27.707,NA,NA,27.178,27.167,26.787,26.941,26.351,26.311
"1970-07",25.699,23.938,29.535,NA,NA,27.737,26.694,25.698,26.871,25.991,25.947
"1970-08",26.216,24.12,29.137,NA,NA,28.108,26.42,25.518,26.508,25.847,25.77
"1970-09",27.063,24.663,24.887,NA,NA,28.279,26.84,26.173,26.691,26.064,25.992
"1970-10",27.103,25.925,19.894,NA,NA,27.457,26.683,26.887,26.808,26.563,26.246
"1970-11",25.496,27.172,13.265,NA,NA,24.246,25.822,25.884,26.505,26.895,26.035
"1970-12",23.637,25.543,9.455,NA,NA,20.637,24.268,24.671,25.697,26.545,25.352
"1971-01",22.619,25.522,6.702,NA,NA,19.929,23.81,23.587,25.373,26.259,25.029
"1971-02",22.852,26.49,7.694,NA,NA,19.49,23.871,23.28,25.502,26.794,25.264
"1971-03",24.121,27.089,13.041,NA,NA,21.272,25.154,24.25,26.684,27.651,26.252
"1971-04",26.027,27.235,17.778,NA,NA,23.428,26.624,25.988,27.936,27.955,26.917
"1971-05",27.572,26.875,24.77,NA,NA,25.784,27.671,27.704,28.242,27.805,27.348
"1971-06",27.448,25.146,28.382,NA,NA,28.085,27.433,26.995,27.535,26.873,26.792
"1971-07",25.817,24.182,30.144,NA,NA,27.9,27.053,25.623,27.154,25.988,26.107
"1971-08",26.06,24.224,30.24,NA,NA,28.143,26.79,25.711,27.003,25.803,25.996
"1971-09",26.466,24.66,25.845,NA,NA,28.607,26.941,25.789,26.819,25.816,25.914
"1971-10",26.333,25.604,20.801,NA,NA,27.616,27.107,27.108,27.226,26.29,26.235
"1971-11",25.503,26.529,13.713,NA,NA,24.756,25.771,26.444,26.302,26.428,25.897
"1971-12",24.321,26.07,8.5,NA,NA,22.05,23.81,24.703,25.259,26.185,25.172
"1972-01",23.252,25.548,9.049,NA,NA,20.62,23.864,23.794,24.915,25.782,24.776
"1972-02",23.024,25.485,10.04,NA,NA,20.506,23.693,23.303,25.164,26.023,24.867
"1972-03",23.995,26.353,14.157,NA,NA,21.935,25.126,24.591,26.366,26.832,25.753
"1972-04",26.015,27.09,17.13,NA,NA,23.925,26.858,26.339,27.51,27.321,26.632
"1972-05",27.593,26.259,23.588,NA,NA,26.167,27.405,28.006,27.505,27.248,26.936
