#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: rcp85
#Model: CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_SMHI-RCA4_v2
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",22.982,25.733,9.692,NA,NA,20.815,23.559,23.378,24.419,26.476,24.847
"2006-02",22.6,25.257,11.079,NA,NA,21.421,23.921,23.018,24.599,26.531,24.91
"2006-03",23.932,26.019,14.879,NA,NA,22.871,25.203,24.3,25.598,27.343,25.823
"2006-04",25.711,27.126,18.46,NA,NA,24.538,26.39,25.474,27.372,27.758,26.626
"2006-05",27.552,26.235,23.611,NA,NA,27.305,27.772,26.996,28.343,26.785,26.659
"2006-06",27.196,24.959,28.568,NA,NA,28.961,27.747,26.736,27.459,25.799,26.075
"2006-07",26.161,24.106,31.307,NA,NA,29.427,27.274,25.816,27.063,25.247,25.682
"2006-08",26.095,23.79,29.187,NA,NA,29.702,27.514,25.449,27.729,25.294,25.797
"2006-09",26.766,24.012,23.976,NA,NA,29.309,27.438,25.843,27.5,25.693,25.933
"2006-10",26.689,24.936,19.633,NA,NA,27.434,27.273,26.046,27.768,26.248,26.17
"2006-11",25.703,26.078,13.891,NA,NA,24.954,25.754,25.557,26.713,25.989,25.573
"2006-12",24.1,26.405,10.101,NA,NA,21.785,24.176,24.046,25.686,26.209,25.109
"2007-01",22.548,25.014,8.823,NA,NA,20.569,23.79,23.115,24.92,25.99,24.609
"2007-02",22.72,24.92,10.991,NA,NA,21.503,24.238,23.444,25.116,26.879,25.276
"2007-03",23.683,25.584,13.821,NA,NA,22.616,25.127,24.02,25.894,27.362,25.85
"2007-04",25.754,26.554,20.754,NA,NA,24.455,26.429,25.374,27.542,27.36,26.403
"2007-05",27.607,25.819,26.007,NA,NA,27.65,27.631,27.105,28.451,26.691,26.672
"2007-06",27.415,25.12,28.532,NA,NA,29.014,27.799,26.65,27.597,25.764,26.082
"2007-07",26.275,24.049,30.171,NA,NA,29.599,27.552,25.908,27.431,25.42,25.822
"2007-08",26.192,23.665,30.886,NA,NA,29.65,27.428,25.477,27.554,25.347,25.72
"2007-09",26.616,23.993,25.993,NA,NA,28.892,27.454,25.754,27.728,25.792,25.987
"2007-10",26.529,24.823,22.563,NA,NA,27.653,27.221,25.855,27.872,26.467,26.186
"2007-11",25.894,26.32,17.728,NA,NA,25.245,26.021,25.72,26.47,27.07,26.201
"2007-12",24.164,26.651,13.814,NA,NA,22.644,24.572,24.369,25.718,27.043,25.793
"2008-01",22.911,25.238,12.21,NA,NA,21.396,23.875,23.281,24.919,26.545,25.036
"2008-02",23.361,25.187,11.622,NA,NA,22.081,24.134,24.038,24.603,27.016,25.378
"2008-03",24.668,26.268,14.497,NA,NA,23.389,25.371,24.854,25.576,27.606,26.178
"2008-04",26.404,27.463,19.624,NA,NA,24.948,26.643,25.982,27.363,28.106,26.973
"2008-05",28.128,26.309,26.343,NA,NA,27.167,27.685,27.542,29.01,27.799,27.488
"2008-06",27.349,24.837,30.431,NA,NA,29.618,28.517,27.424,28.566,26.449,26.787
"2008-07",26.434,24.14,31.535,NA,NA,29.768,27.476,26.115,27.359,25.709,25.998
"2008-08",26.56,23.886,30.773,NA,NA,30.004,27.551,25.892,27.737,25.843,26.045
"2008-09",27.161,24.367,26.251,NA,NA,29.456,27.403,26.104,27.518,26.109,26.026
"2008-10",27.01,25.743,22.442,NA,NA,28.32,27.982,27.031,27.99,26.903,26.514
"2008-11",26.778,27.321,16.706,NA,NA,26.073,26.712,27.009,27.065,27.117,26.385
"2008-12",24.113,26.458,11.719,NA,NA,21.91,25.401,25.153,26.37,26.874,25.668
"2009-01",23.064,25.349,11.255,NA,NA,21.387,24.708,24.138,25.453,26.677,25.285
"2009-02",22.826,25.008,12.889,NA,NA,21.791,24.723,23.846,25.357,27.166,25.517
"2009-03",24.09,25.919,15.347,NA,NA,22.806,25.696,24.817,26.332,27.829,26.255
"2009-04",26.088,27.458,20.003,NA,NA,25.003,26.753,26.142,27.793,28.086,27.052
"2009-05",27.774,26.704,25.142,NA,NA,27.009,28.067,27.7,28.943,27.561,27.294
"2009-06",27.609,25.633,29.619,NA,NA,29.333,28.095,27.358,27.93,26.326,26.565
"2009-07",26.884,24.869,31.307,NA,NA,29.738,27.444,26.251,27.581,25.858,26.187
"2009-08",26.982,24.578,30.624,NA,NA,29.915,27.52,25.961,27.681,25.697,25.969
"2009-09",27.569,25.057,26.296,NA,NA,29.573,27.554,26.419,27.411,25.989,26.003
"2009-10",27.665,25.637,20.042,NA,NA,28.486,27.733,27.38,27.894,26.623,26.366
"2009-11",27.048,26.531,15.6,NA,NA,25.581,27.112,26.947,27.654,27.131,26.426
"2009-12",24.474,26.746,11.166,NA,NA,21.924,25.232,25.48,26.415,26.871,25.699
"2010-01",22.396,25.468,8.974,NA,NA,20.422,24.487,23.719,25.785,26.388,25.033
"2010-02",22.608,25.076,10.042,NA,NA,20.85,24.641,23.993,25.116,26.674,25.15
"2010-03",23.474,25.531,15.561,NA,NA,22.588,25.439,24.38,26.386,27.436,26.048
"2010-04",25.725,26.993,20.45,NA,NA,24.956,27.03,26.12,27.933,27.482,26.724
"2010-05",27.227,26.25,26.004,NA,NA,27.587,28.197,27.421,28.882,27.118,27.04
"2010-06",26.935,25.23,28.218,NA,NA,28.895,27.927,26.663,27.871,26.253,26.468
"2010-07",26.365,24.303,32.304,NA,NA,29.652,27.477,25.893,27.527,25.801,26.112
"2010-08",26.677,24.185,30.311,NA,NA,29.786,27.665,25.823,27.759,26.016,26.233
"2010-09",27.395,24.655,27.674,NA,NA,29.369,27.786,26.361,27.895,26.265,26.375
"2010-10",26.963,25.42,22.589,NA,NA,27.776,27.711,26.444,28.246,26.512,26.44
"2010-11",26.379,26.796,14.878,NA,NA,25.179,26.55,26.321,27.235,26.985,26.294
"2010-12",24.615,27.013,11.528,NA,NA,22.136,24.932,25.138,25.66,27.048,25.747
"2011-01",23.193,25.839,9.537,NA,NA,21.058,23.991,23.875,24.829,26.563,25.122
"2011-02",23.013,25.497,12.5,NA,NA,21.596,24.051,23.673,24.915,26.942,25.362
"2011-03",23.934,25.969,15.371,NA,NA,22.83,25.349,24.213,26.272,27.574,26.109
"2011-04",25.876,26.785,21.818,NA,NA,24.976,26.93,25.644,28.215,27.251,26.584
"2011-05",27.864,26.317,25.953,NA,NA,27.378,27.932,27.162,28.565,26.951,26.857
"2011-06",27.469,25.086,29.319,NA,NA,29.288,28.105,26.978,27.734,25.949,26.31
"2011-07",26.321,24.116,31.193,NA,NA,29.699,27.241,25.874,27.127,25.448,25.89
"2011-08",26.258,23.812,29.537,NA,NA,29.758,27.261,25.513,27.301,25.68,25.964
"2011-09",26.709,24.018,24.811,NA,NA,29.364,27.856,25.836,28.208,25.913,26.09
"2011-10",26.536,25.025,23.011,NA,NA,27.911,27.481,26.428,27.99,26.588,26.421
"2011-11",26.228,26.652,17.501,NA,NA,25.664,26.649,26.359,27.116,27.344,26.514
"2011-12",24.397,26.521,10.917,NA,NA,21.84,24.891,24.263,26.371,27.184,25.832
"2012-01",23.199,25.109,10.703,NA,NA,21.351,24.232,23.266,25.814,26.788,25.278
"2012-02",23.088,25.309,11.545,NA,NA,21.857,24.383,23.335,25.384,26.871,25.285
"2012-03",24.041,26.295,14.308,NA,NA,23.104,25.44,24.54,26.23,28.257,26.514
"2012-04",26.226,27.695,17.56,NA,NA,24.617,26.734,25.91,28.059,28.674,27.366
"2012-05",27.859,26.477,23.749,NA,NA,27.451,28.024,27.328,29.237,27.726,27.379
"2012-06",27.44,25.17,28.45,NA,NA,28.888,28.367,27.032,28.14,26.24,26.51
"2012-07",26.484,24.208,30.769,NA,NA,29.72,27.915,26.151,27.756,25.699,26.095
"2012-08",26.205,23.837,30.917,NA,NA,29.879,27.526,25.698,27.686,25.64,25.94
"2012-09",26.89,24.176,26.788,NA,NA,29.238,27.857,26.174,28.162,26.195,26.232
"2012-10",26.916,25.229,21.9,NA,NA,28.002,27.596,26.587,28.54,26.739,26.464
"2012-11",26.438,26.739,13.666,NA,NA,25.165,26.46,26.207,27.588,27.247,26.316
"2012-12",24.819,27.073,10.528,NA,NA,22.852,25.185,25.01,26.484,27,25.726
"2013-01",23.471,25.973,9.69,NA,NA,21.447,24.36,23.726,25.594,26.709,25.221
"2013-02",23.601,25.905,9.222,NA,NA,20.729,24.484,23.616,25.46,27.286,25.48
"2013-03",24.295,26.535,13.334,NA,NA,22.372,25.141,23.969,26.565,28.07,26.276
"2013-04",26.285,27.577,19.395,NA,NA,24.785,26.262,25.297,27.9,27.992,26.786
