#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: rcp85
#Model: ICHEC-EC-EARTH_r12i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",23.091,25.845,11.654,NA,NA,19.963,22.612,23.138,24.288,25.667,24.427
"2006-02",23.029,25.915,11.716,NA,NA,20.317,23.112,23.299,24.543,25.917,24.672
"2006-03",23.285,26.258,12.994,NA,NA,21.651,24.534,23.863,25.405,26.245,25.171
"2006-04",25.037,26.354,15.83,NA,NA,23.693,26.169,25.139,27.273,26.905,26.037
"2006-05",27.304,25.727,18.769,NA,NA,26.31,27.514,27.151,28.15,27.14,26.744
"2006-06",26.619,24.675,21.792,NA,NA,26.655,27.326,26.774,27.475,26.535,26.346
"2006-07",25.895,24.138,25.4,NA,NA,27.37,26.988,25.917,27.087,26.065,25.944
"2006-08",26.379,24.396,26.107,NA,NA,27.937,27.204,26.129,27.11,26.148,26.09
"2006-09",26.778,24.732,24.738,NA,NA,27.942,27.293,26.427,26.994,26.242,26.093
"2006-10",26.171,25.448,22.133,NA,NA,27.076,26.765,26.351,26.561,26.372,26.038
"2006-11",25.545,26.079,17.903,NA,NA,24.614,26.2,26.268,26.343,26.448,25.875
"2006-12",24.15,26.498,13.516,NA,NA,21.282,23.859,24.341,25.307,26.398,25.217
"2007-01",22.647,25.964,10.46,NA,NA,19.013,22.04,22.648,23.741,26.352,24.602
"2007-02",22.664,26.215,11.023,NA,NA,19.346,22.725,22.718,23.895,26.053,24.56
"2007-03",24.002,26.897,14.014,NA,NA,21.966,24.871,24.335,25.796,26.852,25.641
"2007-04",25.565,27.029,16.319,NA,NA,23.598,26.278,25.534,27.251,27.306,26.412
"2007-05",27.78,26.363,18.492,NA,NA,26.377,27.509,27.489,28.323,27.582,27.124
"2007-06",27.154,25.007,22.56,NA,NA,27.547,27.726,27.283,27.988,27.028,26.817
"2007-07",26.05,24.392,24.791,NA,NA,27.829,27.111,26.211,27.236,26.503,26.281
"2007-08",26.077,24.295,25.536,NA,NA,28.077,27.324,26.211,27.325,26.234,26.166
"2007-09",27.023,24.739,25.033,NA,NA,28.334,27.71,26.84,27.759,26.36,26.405
"2007-10",26.249,25.499,21.315,NA,NA,26.937,27.081,26.444,27.169,26.475,26.23
"2007-11",25.001,25.962,15.858,NA,NA,23.955,25.69,25.779,26.51,26.338,25.752
"2007-12",23.828,25.981,13.526,NA,NA,21.22,23.868,24.531,25.028,26.044,25.062
"2008-01",22.61,25.763,11.12,NA,NA,19.441,22.802,23.53,24.34,25.785,24.57
"2008-02",22.961,25.949,10.888,NA,NA,20.718,23.444,23.611,24.713,26.094,24.824
"2008-03",23.496,26.749,12.105,NA,NA,21.748,24.816,24.319,25.698,26.62,25.488
"2008-04",25.253,26.574,15.499,NA,NA,23.955,26.328,25.255,27.471,27.115,26.252
"2008-05",27.221,25.756,18.654,NA,NA,25.805,27.412,27.008,28.104,27.275,26.784
"2008-06",26.499,24.391,22.321,NA,NA,27.119,27.071,26.596,27.393,26.716,26.444
"2008-07",25.85,23.88,24.993,NA,NA,27.563,26.918,26.001,27.036,26.265,26.077
"2008-08",26.013,24.169,25.501,NA,NA,27.993,27.11,25.985,27.116,26.169,26.092
"2008-09",26.451,24.584,24.48,NA,NA,28.032,27.314,26.202,27.216,26.3,26.199
"2008-10",26.01,25.422,22.039,NA,NA,27.005,27.05,26.233,26.935,26.53,26.168
"2008-11",24.891,26.086,14.11,NA,NA,23.624,25.82,25.305,26.537,26.381,25.654
"2008-12",23.886,26.325,11.37,NA,NA,20.987,23.354,24.089,25.025,26.289,25.083
"2009-01",23.05,25.869,11.399,NA,NA,19.972,22.492,23.153,24.057,26.009,24.594
"2009-02",23.076,26.205,9.616,NA,NA,20.312,23.198,23.175,24.337,26.28,24.844
"2009-03",24.244,26.889,12.023,NA,NA,21.804,24.411,23.93,25.624,26.904,25.576
"2009-04",25.874,27.134,15.066,NA,NA,23.753,26.522,25.51,27.402,27.411,26.454
"2009-05",27.924,26.255,18.973,NA,NA,26.477,27.743,27.666,28.229,27.561,27.137
"2009-06",27.043,25.046,22.571,NA,NA,27.727,27.681,27.235,27.706,26.883,26.715
"2009-07",26.432,24.264,24.751,NA,NA,27.912,27.371,26.428,27.385,26.488,26.348
"2009-08",26.235,24.208,25.771,NA,NA,28.167,27.502,26.251,27.605,26.294,26.235
"2009-09",26.955,24.815,23.514,NA,NA,28.512,27.657,26.637,27.589,26.512,26.423
"2009-10",26.49,25.594,21.022,NA,NA,27.156,27.233,26.432,27.173,26.571,26.31
"2009-11",25.509,25.963,15.473,NA,NA,24.302,25.94,25.823,26.609,26.594,25.969
"2009-12",24.161,25.976,12.131,NA,NA,22.043,23.655,24.366,25.012,26.055,25.046
"2010-01",23.107,26.033,13.065,NA,NA,20.593,22.873,23.413,24.33,25.964,24.704
"2010-02",22.894,26.198,11.85,NA,NA,20.391,23.203,23.063,24.582,26.176,24.798
"2010-03",23.9,26.687,13.271,NA,NA,21.734,24.58,24.031,25.44,26.671,25.464
"2010-04",25.84,26.887,15.177,NA,NA,24.063,26.505,25.44,27.306,27.367,26.433
"2010-05",27.79,26.324,18.836,NA,NA,26.424,27.894,27.684,28.375,27.569,27.165
"2010-06",26.976,25.079,21.655,NA,NA,26.999,27.338,26.907,27.544,26.782,26.526
"2010-07",25.928,24.189,24.258,NA,NA,27.695,27.178,26.127,27.181,26.158,26.101
"2010-08",26.237,24.234,25.139,NA,NA,28.087,27.365,26.052,27.473,25.894,25.993
"2010-09",26.69,24.588,23.804,NA,NA,28.068,27.56,26.318,27.389,25.88,26.024
"2010-10",26.122,25.258,19.773,NA,NA,26.794,27.08,26.143,26.829,26.007,25.887
"2010-11",25.523,25.903,15.843,NA,NA,24.732,25.99,25.85,26.427,26.251,25.758
"2010-12",23.742,26.2,14.285,NA,NA,21.529,23.674,23.99,25.287,26.098,25.112
"2011-01",22.833,25.818,11.712,NA,NA,20.686,22.175,22.76,24.21,25.695,24.422
"2011-02",22.806,25.835,11.455,NA,NA,20.42,23.085,23.001,24.694,26.089,24.803
"2011-03",23.239,26.397,13.692,NA,NA,22.215,24.839,23.797,26.131,26.467,25.445
"2011-04",25.127,26.668,16.258,NA,NA,24.564,26.331,25.027,27.448,26.805,26.052
"2011-05",27.379,26.215,19.74,NA,NA,26.941,27.448,27.314,27.829,27.283,26.91
"2011-06",27.025,25.161,22.431,NA,NA,27.548,27.231,26.84,27.415,26.896,26.643
"2011-07",26.375,24.598,24.902,NA,NA,28.2,27.322,26.517,27.524,26.446,26.407
"2011-08",26.396,24.372,26.138,NA,NA,28.424,26.976,26.248,27.115,26.248,26.185
"2011-09",26.477,24.622,24.793,NA,NA,27.94,27.141,26.225,27.229,26.275,26.171
"2011-10",26.644,25.51,22.473,NA,NA,27.299,27.407,26.586,27.234,26.58,26.346
"2011-11",24.991,26.066,17.52,NA,NA,24.359,25.998,25.381,26.72,26.285,25.752
"2011-12",23.663,26.026,13.707,NA,NA,21.781,23.351,23.768,25.51,25.92,24.894
"2012-01",22.501,25.655,12.099,NA,NA,19.531,22.61,23.086,24.404,25.828,24.487
"2012-02",23.307,26.056,9.751,NA,NA,20.777,23.286,23.354,24.293,26.155,24.761
"2012-03",24.488,26.67,12.102,NA,NA,21.946,24.415,24.069,25.423,26.764,25.497
"2012-04",25.785,26.738,16.147,NA,NA,24.299,26.223,25.468,27.178,27.331,26.397
"2012-05",27.672,26.086,19.284,NA,NA,26.458,27.675,27.434,28.287,27.519,27.093
"2012-06",27.026,25.008,21.854,NA,NA,27.432,27.699,27.158,27.936,27.087,26.833
"2012-07",26.127,24.239,24.506,NA,NA,28.1,27.643,26.426,27.712,26.359,26.317
"2012-08",26.244,24.346,25.967,NA,NA,28.48,27.238,26.107,27.305,26.16,26.144
"2012-09",26.815,24.849,23.832,NA,NA,28.294,27.066,26.241,26.947,26.19,26.091
"2012-10",26.339,25.889,20.711,NA,NA,27.056,27.154,26.461,27.228,26.651,26.346
"2012-11",25.06,26.406,16.98,NA,NA,24.38,26.254,25.889,26.805,26.739,26.115
"2012-12",23.252,26.212,12.225,NA,NA,20.595,23.944,24.258,25.705,26.386,25.317
"2013-01",22.976,26.307,10.442,NA,NA,20.35,23.399,23.781,25.244,26.428,25.143
"2013-02",22.792,25.874,10.414,NA,NA,20.004,23.282,23.113,24.697,26.52,25.034
"2013-03",23.253,26.554,11.141,NA,NA,21.033,24.733,23.863,26.072,26.674,25.496
"2013-04",26.079,27.191,15.679,NA,NA,24.474,26.475,25.657,27.522,27.472,26.592
"2013-05",27.551,26.498,18.922,NA,NA,26.118,27.776,27.452,28.53,27.553,27.099
"2013-06",27.595,25.625,21.815,NA,NA,27.17,27.657,27.384,27.942,27.188,26.925
"2013-07",26.655,24.671,24.579,NA,NA,27.753,27.553,26.661,27.675,26.579,26.457
"2013-08",26.505,24.316,25.79,NA,NA,28.189,27.268,26.277,27.41,26.404,26.276
"2013-09",26.75,24.805,24.632,NA,NA,27.933,27.365,26.519,27.325,26.463,26.277
"2013-10",26.465,25.741,22.05,NA,NA,27.057,27.179,26.451,26.964,26.603,26.239
"2013-11",25.131,26.399,18.504,NA,NA,24.453,25.691,25.531,26.242,26.376,25.75
"2013-12",23.612,26.425,13.857,NA,NA,20.691,22.98,23.553,24.81,26.234,24.921
"2014-01",22.962,25.837,10.475,NA,NA,19.519,22.128,22.982,23.78,26.049,24.534
"2014-02",22.796,25.98,11.613,NA,NA,20.015,22.897,22.884,23.896,26.082,24.68
"2014-03",23.579,26.615,13.429,NA,NA,22.193,24.955,24.311,25.869,26.665,25.57
"2014-04",25.632,27.057,16.412,NA,NA,24.362,26.464,25.672,27.349,27.412,26.501
"2014-05",27.6,26.072,19.191,NA,NA,26.246,27.692,27.5,28.166,27.563,27.073
"2014-06",26.417,24.814,23.019,NA,NA,27.036,27.401,26.642,27.447,26.734,26.493
"2014-07",25.857,24.068,25.476,NA,NA,27.667,27.319,26.119,27.317,26.194,26.155
"2014-08",26.063,24.055,26.265,NA,NA,28.143,27.367,26.083,27.634,26.041,26.114
"2014-09",26.125,24.383,23.927,NA,NA,27.738,27.217,25.946,27.446,26.142,26.032
"2014-10",25.936,25.087,19.861,NA,NA,26.746,27.224,26,27.271,26.324,26.051
"2014-11",25.317,25.839,15.451,NA,NA,24.632,26.468,25.806,26.734,26.378,25.818
"2014-12",23.977,26.013,12.768,NA,NA,21.861,23.821,24.36,25.561,26.222,25.159
"2015-01",23.655,26.184,9.97,NA,NA,20.832,22.769,23.572,24.363,26.112,24.784
"2015-02",23.52,26.205,10.122,NA,NA,21.437,23.413,23.741,24.609,26.277,25.01
"2015-03",25.467,26.753,11.484,NA,NA,22.459,24.975,25.027,25.859,26.874,25.808
"2015-04",26.175,26.899,15.779,NA,NA,24.707,26.189,25.745,27.268,27.449,26.567
"2015-05",28.026,26.224,19.115,NA,NA,26.982,27.728,27.821,28.348,27.781,27.292
"2015-06",27.566,25.317,22.349,NA,NA,27.694,27.792,27.487,27.905,27.234,26.98
"2015-07",26.784,24.621,25.127,NA,NA,28.126,27.602,26.751,27.634,26.755,26.587
"2015-08",26.554,24.737,25.608,NA,NA,28.08,27.145,26.306,27.253,26.534,26.322
"2015-09",27.328,25.459,24.475,NA,NA,28.193,27.415,26.724,27.166,26.575,26.395
"2015-10",27.356,26.294,21.351,NA,NA,27.501,27.332,27.157,27.035,26.794,26.49
"2015-11",26.04,26.45,17.789,NA,NA,25.28,26.218,26.362,26.865,26.721,26.216
"2015-12",23.54,26.729,12.266,NA,NA,20.739,23.645,23.987,25.516,26.659,25.374
"2016-01",22.756,26.382,12.308,NA,NA,19.735,23.057,23.655,24.622,26.539,25.084
"2016-02",22.974,26.462,9.808,NA,NA,20.626,23.204,23.286,24.13,26.609,25.071
"2016-03",24.443,27.275,12.786,NA,NA,22.045,24.687,24.094,25.84,27.036,25.734
"2016-04",26.53,27.379,15.661,NA,NA,24.271,26.425,25.878,27.391,27.567,26.67
"2016-05",28.115,26.611,18.338,NA,NA,26.732,27.772,27.627,28.389,27.681,27.256
"2016-06",27.487,25.239,22.236,NA,NA,27.824,27.721,27.53,27.993,27.231,27
"2016-07",26.13,24.408,25.382,NA,NA,28.055,27.134,26.199,27.369,26.506,26.347
"2016-08",26.546,24.674,25.268,NA,NA,28.226,26.961,25.974,27.123,26.376,26.233
"2016-09",27.257,25.07,23.846,NA,NA,28.545,27.704,26.824,27.559,26.64,26.554
"2016-10",26.969,25.879,20.639,NA,NA,27.469,27.662,27.073,27.653,26.987,26.694
"2016-11",25.822,26.601,16.379,NA,NA,24.292,26.449,26.298,27.061,26.997,26.362
"2016-12",23.387,26.141,11.861,NA,NA,20.548,23.485,23.774,25.684,26.703,25.369
"2017-01",21.918,25.323,9.778,NA,NA,18.665,22.183,22.443,24.817,26.105,24.601
"2017-02",22.128,25.816,10.764,NA,NA,19.745,22.958,22.577,24.665,26.013,24.667
"2017-03",23.423,26.574,13.695,NA,NA,22.048,24.89,24.259,25.979,26.544,25.504
"2017-04",26.114,26.927,16.301,NA,NA,24.98,26.895,26.476,27.644,27.316,26.645
"2017-05",27.689,26.274,19.741,NA,NA,26.68,27.765,27.589,28.062,27.399,27.031
"2017-06",27.032,25.192,23.145,NA,NA,27.593,27.562,27.064,27.791,26.882,26.722
"2017-07",26.187,24.42,25.089,NA,NA,28.279,27.646,26.488,27.941,26.497,26.465
"2017-08",26.06,24.299,25.884,NA,NA,28.38,27.248,26.059,27.434,26.195,26.157
"2017-09",26.22,24.535,24.728,NA,NA,28.182,26.994,26.034,27.078,26.193,26.083
"2017-10",26.285,25.448,19.425,NA,NA,27.184,26.923,26.239,27.046,26.611,26.222
"2017-11",25.026,26.222,16.562,NA,NA,24.541,26.046,25.828,26.83,26.644,26.044
