#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: rcp85
#Model: MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v2
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",24.539,27.081,6.982,NA,NA,21.705,24.202,24.822,25.708,26.835,25.674
"2006-02",24.255,27.038,7.917,NA,NA,20.862,24.169,24.145,26.143,27.096,25.766
"2006-03",25.048,27.227,13.79,NA,NA,22.497,25.935,25.294,27.243,27.25,26.27
"2006-04",26.976,27.303,20.881,NA,NA,25.181,27.419,26.966,28.588,27.928,27.279
"2006-05",28.473,26.477,24.331,NA,NA,27.99,28.467,28.324,28.584,27.763,27.635
"2006-06",27.697,25.564,27.828,NA,NA,29.508,28.511,27.685,28.278,27.131,27.273
"2006-07",25.532,24.438,31.226,NA,NA,29.729,27.158,25.759,27.29,26.273,26.386
"2006-08",25.043,24.248,30.881,NA,NA,29.888,26.976,25.039,27.266,25.867,26.028
"2006-09",26.812,24.649,27.673,NA,NA,29.418,26.848,25.35,27.152,25.757,25.931
"2006-10",26.558,25.865,23.159,NA,NA,28.096,26.888,25.962,27.106,26.395,26.258
"2006-11",25.778,27.019,16.121,NA,NA,25.816,26.189,26.27,27.166,26.972,26.415
"2006-12",25.133,27.096,9.186,NA,NA,23.246,24.795,25.459,26.355,26.956,25.943
"2007-01",24.384,26.856,9.234,NA,NA,22.394,24.2,24.685,25.859,26.494,25.507
"2007-02",24.248,26.57,10.58,NA,NA,21.753,24.424,24.414,25.945,26.786,25.59
